Team,YahooYahoo,OfficeFootballPoolOFP,Average
DEN,51.8,40.7,46.2
CIN,28.0,37.3,32.7
IND,6.4,6.9,6.7
NE,4.6,4.1,4.4
CHI,0.8,2.7,1.8
SEA,1.6,1.8,1.7
TEN,1.5,1.5,1.5
DAL,0.7,1.1,0.9
BAL,0.9,0.3,0.6
ARI,0.5,0.7,0.6
HOU,0.7,0.4,0.6
PIT,0.6,0.3,0.4
CAR,0.3,0.5,0.4
ATL,0.3,0.2,0.2
NO,0.2,0.2,0.2
PHI,0.2,0.2,0.2
NYG,0.1,0.2,0.1
WAS,0.2,0.1,0.1
SD,0.0,0.2,0.1
CLE,0.1,0.1,0.1
TB,0.1,0.1,0.1
STL,0.1,0.1,0.1
GB,0.1,0.0,0.1
SF,0.1,0.0,0.1
JAX,0.1,0.0,0.0
MIA,0.1,0.0,0.0
DET,0.1,0.0,0.0
MIN,0.1,0.0,0.0
BUF,0.0,0.0,0.0
OAK,0.0,0.0,0.0
KC,0.0,0.0,0.0
NYJ,0.0,0.0,0.0
