Team,YahooYahoo,OfficeFootballPoolOFP,Average
PHI,22.8,19.7,21.2
CIN,18.7,18.4,18.6
BAL,15.2,21.5,18.4
NO,10.1,15.4,12.8
MIN,10.5,7.0,8.7
KC,6.2,8.1,7.1
BUF,5.8,4.5,5.1
WSH,4.6,1.7,3.2
HOU,1.9,0.2,1.0
TEN,0.6,1.0,0.8
ATL,0.8,0.5,0.7
DET,0.5,0.2,0.4
LAC,0.5,0.2,0.4
LAR,0.3,0.3,0.3
ARI,0.3,0.3,0.3
NYJ,0.3,0.2,0.2
NE,0.2,0.2,0.2
CLE,0.2,0.1,0.1
DAL,0.1,0.1,0.1
TB,0.0,0.2,0.1
CHI,0.1,0.1,0.1
NYG,0.0,0.1,0.1
SEA,0.1,0.0,0.0
CAR,0.1,0.0,0.0
DEN,0.0,0.0,0.0
JAX,0.0,0.0,0.0
IND,0.0,0.0,0.0
GB,0.0,0.0,0.0
MIA,0.0,0.0,0.0
LV,0.0,0.0,0.0
SF,0.0,0.0,0.0
PIT,0.0,0.0,0.0
