Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
BAL,36.1,18.6,15.1,23.3
NO,12.1,13.9,29.4,18.5
MIN,17.0,24.3,12.7,18.0
ATL,13.2,8.1,3.5,8.3
JAX,5.4,14.5,4.8,8.2
DET,2.7,4.7,6.6,4.7
CAR,2.5,1.7,3.4,2.5
WAS,1.7,2.6,2.6,2.3
PHI,3.3,1.7,1.7,2.2
DEN,2.1,1.7,2.2,2.0
TEN,0.9,0.4,3.7,1.7
KC,0.3,0.5,3.8,1.5
SEA,0.2,0.7,3.5,1.4
BUF,0.5,0.9,2.3,1.2
SF,0.5,2.0,0.6,1.0
DAL,0.6,1.3,0.5,0.8
IND,0.1,0.6,0.4,0.3
MIA,0.2,0.3,0.5,0.3
NYG,0.0,0.2,0.5,0.2
HOU,0.0,0.0,0.6,0.2
NE,0.2,0.2,0.2,0.2
ARI,0.1,0.2,0.3,0.2
TB,0.0,0.4,0.1,0.2
CLE,0.1,0.2,0.1,0.1
LAR,0.1,0.1,0.1,0.1
OAK,0.0,0.0,0.3,0.1
GB,0.1,0.0,0.1,0.1
NYJ,0.0,0.1,0.1,0.1
LAC,0.1,0.0,0.1,0.1
CHI,0.0,0.0,0.2,0.1
CIN,0.0,0.0,0.1,0.0
PIT,0.1,0.0,0.1,0.0
