Team,YahooYahoo,OfficeFootballPoolOFP,Average
DAL,45.6,45.8,45.7
CIN,34.6,33.6,34.1
BUF,5.9,5.2,5.5
PIT,4.8,5.2,5.0
CHI,2.4,2.7,2.5
BAL,1.3,2.8,2.0
SEA,1.4,2.2,1.8
ATL,1.6,0.5,1.1
IND,0.5,0.4,0.4
LV,0.6,0.2,0.4
DET,0.3,0.3,0.3
TB,0.2,0.2,0.2
SF,0.3,0.1,0.2
NO,0.1,0.3,0.2
NYJ,0.1,0.2,0.1
ARI,0.1,0.1,0.1
NE,0.1,0.1,0.1
MIN,0.1,0.0,0.1
CAR,0.1,0.0,0.0
TEN,0.0,0.0,0.0
JAX,0.0,0.0,0.0
HOU,0.0,0.0,0.0
LAC,0.0,0.0,0.0
NYG,0.0,0.0,0.0
GB,0.0,0.0,0.0
WAS,0.0,0.0,0.0
DEN,0.0,0.0,0.0
CLE,0.0,0.0,0.0
KC,0.0,0.0,0.0
MIA,0.0,0.0,0.0
PHI,0.0,0.0,0.0
LAR,0.0,0.0,0.0
