Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
DET,56.2,54.9,35.0,48.7
HOU,8.8,15.4,22.1,15.5
NO,19.6,12.1,7.8,13.2
BAL,1.2,3.0,11.1,5.1
KC,5.2,4.8,4.1,4.7
CAR,3.9,4.5,2.7,3.7
SF,2.1,1.7,1.7,1.8
GB,0.7,0.5,3.6,1.6
CHI,0.4,0.2,3.2,1.3
PIT,0.6,0.4,1.7,0.9
STL,0.1,0.6,0.9,0.5
OAK,0.2,0.5,0.9,0.5
MIA,0.0,0.0,1.1,0.4
NYG,0.3,0.3,0.4,0.4
IND,0.2,0.0,0.9,0.3
TEN,0.1,0.1,0.8,0.3
DAL,0.1,0.0,0.6,0.2
CLE,0.1,0.2,0.3,0.2
ARI,0.0,0.3,0.2,0.2
DEN,0.2,0.1,0.2,0.2
WAS,0.0,0.2,0.1,0.1
TB,0.0,0.1,0.2,0.1
SD,0.0,0.0,0.2,0.1
NE,0.1,0.1,0.1,0.1
JAX,0.0,0.1,0.0,0.1
ATL,0.0,0.0,0.1,0.0
NYJ,0.0,0.0,0.0,0.0
MIN,0.0,0.0,0.0,0.0
