Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
SF,32.1,25.4,25.4,27.6
LAR,20.4,24.4,20.7,21.8
TB,9.3,11.5,11.1,10.6
CAR,12.5,8.6,8.9,10.0
KC,3.2,5.2,5.1,4.5
BUF,2.1,5.6,4.8,4.2
JAX,4.1,3.1,3.5,3.6
MIN,3.2,2.0,2.9,2.7
GB,1.8,2.9,2.9,2.6
SEA,2.6,1.5,2.1,2.1
BAL,1.7,1.9,1.9,1.8
DEN,1.4,1.3,1.7,1.5
ATL,1.1,1.6,1.6,1.4
TEN,1.1,1.4,1.6,1.4
NE,0.6,1.2,1.2,1.0
LAC,0.8,0.5,0.9,0.7
WAS,0.2,0.4,0.6,0.4
HOU,0.2,0.3,0.5,0.3
NYG,0.2,0.3,0.4,0.3
PHI,0.2,0.2,0.4,0.3
MIA,0.2,0.2,0.3,0.2
LV,0.2,0.2,0.2,0.2
NYJ,0.1,0.1,0.2,0.1
PIT,0.1,0.1,0.2,0.1
CIN,0.1,0.1,0.2,0.1
DAL,0.2,0.0,0.2,0.1
ARI,0.1,0.1,0.1,0.1
DET,0.1,0.0,0.1,0.1
IND,0.0,0.0,0.1,0.0
CHI,0.0,0.0,0.1,0.0
CLE,0.0,0.0,0.1,0.0
NO,0.0,0.0,0.1,0.0
