Team,YahooYahoo,OfficeFootballPoolOFP,Average
MIA,42.4,43.3,42.8
DET,39.2,38.2,38.7
WAS,7.3,7.9,7.6
BUF,3.2,3.0,3.1
BAL,1.6,1.7,1.7
CIN,1.1,1.3,1.2
HOU,1.1,0.4,0.7
NYJ,0.9,0.5,0.7
PHI,0.5,0.8,0.7
KC,0.6,0.7,0.6
GB,0.6,0.2,0.4
NE,0.3,0.3,0.3
DEN,0.2,0.3,0.2
ATL,0.1,0.3,0.2
IND,0.2,0.2,0.2
SF,0.2,0.2,0.2
TEN,0.1,0.2,0.2
ARI,0.1,0.1,0.1
NO,0.1,0.1,0.1
LV,0.1,0.1,0.1
CHI,0.1,0.0,0.0
DAL,0.0,0.0,0.0
CAR,0.0,0.0,0.0
PIT,0.0,0.0,0.0
LAR,0.0,0.0,0.0
MIN,0.0,0.0,0.0
NYG,0.0,0.0,0.0
JAX,0.0,0.0,0.0
CLE,0.0,0.0,0.0
LAC,0.0,0.0,0.0
SEA,0.0,0.0,0.0
TB,0.0,0.0,0.0
