Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
MIA,23.1,29.3,15.9,22.8
ARI,29.3,16.2,21.2,22.2
SF,11.1,21.3,14.5,15.6
DAL,8.7,7.6,9.6,8.7
BUF,12.5,3.2,5.3,7.0
PHI,2.8,6.8,4.4,4.7
TB,3.3,3.0,3.2,3.2
JAX,1.2,3.2,4.4,2.9
MIN,2.1,2.7,3.9,2.9
GB,1.2,2.1,0.8,1.4
CLE,0.6,0.5,2.6,1.2
KC,0.7,0.3,1.8,0.9
CIN,0.3,0.6,1.9,0.9
DEN,0.0,0.5,1.9,0.8
LAR,1.1,0.3,0.9,0.7
HOU,0.2,0.4,1.1,0.6
NE,0.7,0.3,0.8,0.6
TEN,0.5,0.3,0.9,0.5
WAS,0.1,0.3,0.9,0.4
LV,0.5,0.2,0.5,0.4
PIT,0.2,0.2,0.7,0.4
CHI,0.0,0.1,0.6,0.2
IND,0.0,0.1,0.6,0.2
LAC,0.0,0.1,0.4,0.2
BAL,0.0,0.1,0.3,0.1
NYG,0.0,0.1,0.2,0.1
NYJ,0.0,0.1,0.2,0.1
DET,0.0,0.0,0.3,0.1
ATL,0.0,0.1,0.1,0.1
SEA,0.0,0.0,0.1,0.0
CAR,0.0,0.0,0.1,0.0
NO,0.0,0.0,0.1,0.0
