Team,YahooYahoo,OfficeFootballPoolOFP,Average
MIA,58.9,50.8,54.9
DET,18.6,21.5,20.1
SEA,5.6,5.8,5.7
HOU,2.9,5.4,4.1
NO,2.8,4.1,3.5
CIN,2.9,2.9,2.9
OAK,1.2,2.1,1.7
NE,1.2,1.8,1.5
WAS,1.5,0.6,1.1
STL,0.7,1.0,0.9
SD,0.7,0.8,0.8
TEN,0.2,0.7,0.5
GB,0.5,0.4,0.5
CLE,0.3,0.5,0.4
MIN,0.4,0.2,0.3
NYJ,0.4,0.2,0.3
ATL,0.2,0.2,0.2
PIT,0.2,0.2,0.2
DEN,0.2,0.2,0.2
NYG,0.2,0.1,0.1
CAR,0.1,0.1,0.1
DAL,0.1,0.0,0.0
PHI,0.1,0.0,0.0
CHI,0.0,0.0,0.0
BAL,0.0,0.0,0.0
KC,0.0,0.0,0.0
SF,0.0,0.0,0.0
BUF,0.0,0.0,0.0
ARI,0.0,0.0,0.0
IND,0.0,0.0,0.0
JAX,0.0,0.0,0.0
TB,0.0,0.0,0.0
