Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
SEA,47.0,59.7,47.6,51.4
TEN,26.4,19.2,20.1,21.9
NO,8.3,4.4,4.4,5.7
TB,3.1,3.1,3.7,3.3
CAR,3.7,3.0,2.5,3.1
SF,0.7,1.1,5.4,2.4
DAL,2.3,1.8,2.0,2.0
KC,2.1,1.7,2.4,2.0
GB,1.6,1.9,2.5,2.0
ARI,1.3,0.7,3.6,1.9
LAR,1.2,1.0,1.2,1.2
HOU,0.5,0.4,0.6,0.5
ATL,0.6,0.4,0.4,0.4
BAL,0.1,0.2,0.7,0.3
IND,0.3,0.3,0.3,0.3
CHI,0.2,0.1,0.5,0.3
CIN,0.0,0.1,0.4,0.2
NYG,0.1,0.1,0.2,0.1
DEN,0.0,0.1,0.3,0.1
WAS,0.2,0.1,0.1,0.1
CLE,0.2,0.1,0.1,0.1
LV,0.0,0.0,0.3,0.1
NE,0.0,0.0,0.3,0.1
LAC,0.0,0.0,0.2,0.1
BUF,0.0,0.1,0.1,0.1
PIT,0.1,0.0,0.1,0.0
MIN,0.0,0.0,0.1,0.0
NYJ,0.0,0.0,0.0,0.0
JAX,0.0,0.0,0.1,0.0
PHI,0.0,0.0,0.0,0.0
DET,0.0,0.0,0.0,0.0
MIA,0.0,0.0,0.0,0.0
