Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
KC,30.4,27.9,31.5,29.9
NYG,39.7,29.3,18.1,29.0
SF,5.0,19.2,6.9,10.4
PHI,4.3,4.1,7.6,5.4
MIA,5.1,4.0,4.5,4.5
LV,2.9,5.6,4.3,4.3
TB,0.2,0.8,8.7,3.2
CHI,3.0,2.5,2.1,2.5
TEN,3.3,1.7,2.3,2.4
DAL,2.3,1.7,1.5,1.8
ATL,1.9,0.8,1.7,1.5
BUF,0.5,0.9,2.1,1.2
CAR,0.1,0.1,2.0,0.7
NO,0.4,0.2,1.5,0.7
LAR,0.2,0.2,0.9,0.4
DET,0.0,0.1,1.0,0.4
PIT,0.1,0.4,0.5,0.3
SEA,0.3,0.1,0.4,0.3
DEN,0.0,0.0,0.5,0.2
GB,0.0,0.0,0.4,0.1
CLE,0.0,0.0,0.4,0.1
LAC,0.1,0.0,0.3,0.1
HOU,0.0,0.0,0.3,0.1
WAS,0.0,0.2,0.1,0.1
ARI,0.1,0.1,0.1,0.1
IND,0.1,0.0,0.2,0.1
MIN,0.0,0.0,0.1,0.1
JAX,0.0,0.0,0.1,0.0
BAL,0.0,0.0,0.0,0.0
CIN,0.0,0.0,0.0,0.0
NE,0.0,0.0,0.0,0.0
NYJ,0.0,0.0,0.0,0.0
