Team,YahooYahoo,OfficeFootballPoolOFP,Average
BAL,43.8,42.0,42.9
ARI,22.3,21.2,21.7
MIN,9.8,14.4,12.1
CIN,8.1,6.2,7.2
WSH,4.8,4.8,4.8
ATL,2.9,3.4,3.1
DEN,2.5,1.7,2.1
NYJ,1.4,1.4,1.4
KC,1.9,0.6,1.3
DAL,0.4,0.8,0.6
CAR,0.3,0.6,0.4
LAC,0.3,0.5,0.4
GB,0.3,0.4,0.3
HOU,0.2,0.3,0.3
SF,0.2,0.3,0.3
LAR,0.4,0.1,0.2
PHI,0.2,0.2,0.2
IND,0.0,0.3,0.2
NO,0.0,0.3,0.2
DET,0.1,0.1,0.1
LV,0.0,0.1,0.1
JAX,0.0,0.1,0.1
NE,0.0,0.1,0.1
NYG,0.0,0.1,0.1
PIT,0.0,0.1,0.1
SEA,0.1,0.0,0.0
MIA,0.0,0.0,0.0
BUF,0.0,0.0,0.0
TB,0.0,0.0,0.0
CLE,0.0,0.0,0.0
CHI,0.0,0.0,0.0
TEN,0.0,0.0,0.0
