Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
MIA,58.4,60.9,39.8,53.0
SF,13.1,9.7,8.1,10.3
BUF,5.0,3.4,9.1,5.8
NYJ,3.3,9.2,4.7,5.7
DAL,3.5,4.9,7.1,5.2
KC,4.2,3.3,3.7,3.7
SEA,4.0,2.8,1.7,2.8
BAL,1.9,0.4,3.6,2.0
MIN,1.8,0.9,2.7,1.8
WAS,1.1,1.9,2.4,1.8
TB,1.5,0.5,2.5,1.5
LV,0.0,0.2,4.0,1.4
DEN,0.3,0.2,2.4,0.9
IND,0.3,0.6,1.7,0.8
LAC,0.6,0.6,0.8,0.7
CHI,0.1,0.1,1.3,0.5
PHI,0.4,0.2,0.5,0.4
CIN,0.1,0.1,0.8,0.3
ATL,0.0,0.0,0.6,0.2
PIT,0.1,0.1,0.4,0.2
TEN,0.2,0.1,0.2,0.2
NE,0.0,0.0,0.5,0.2
DET,0.1,0.0,0.3,0.1
NYG,0.0,0.0,0.4,0.1
CAR,0.1,0.0,0.2,0.1
HOU,0.0,0.0,0.2,0.1
GB,0.0,0.0,0.2,0.1
ARI,0.0,0.0,0.2,0.1
NO,0.0,0.0,0.1,0.0
JAX,0.0,0.0,0.1,0.0
CLE,0.0,0.0,0.1,0.0
LAR,0.0,0.0,0.1,0.0
