Team,YahooYahoo,OfficeFootballPoolOFP,Average
NO,31.0,33.6,32.3
SF,24.2,17.1,20.6
CHI,12.0,16.0,14.0
DAL,6.0,14.4,10.2
PIT,9.5,5.3,7.4
DET,4.3,2.9,3.6
IND,3.0,2.7,2.9
BUF,2.7,1.3,2.0
GB,2.2,1.4,1.8
WAS,1.3,1.4,1.4
NYJ,1.2,1.2,1.2
PHI,0.6,0.6,0.6
CAR,0.3,0.3,0.3
NYG,0.4,0.2,0.3
HOU,0.2,0.3,0.2
ATL,0.2,0.1,0.2
SD,0.1,0.2,0.2
BAL,0.1,0.2,0.2
CLE,0.2,0.1,0.1
DEN,0.1,0.1,0.1
ARI,0.1,0.1,0.1
NE,0.1,0.1,0.1
KC,0.0,0.1,0.1
MIA,0.1,0.0,0.0
CIN,0.0,0.0,0.0
STL,0.0,0.0,0.0
TB,0.0,0.0,0.0
SEA,0.0,0.0,0.0
JAX,0.0,0.0,0.0
TEN,0.0,0.0,0.0
OAK,0.0,0.0,0.0
MIN,0.0,0.0,0.0
