Team,YahooYahoo,OfficeFootballPoolOFP,Average
PIT,59.6,52.1,55.9
SF,13.1,14.2,13.7
NE,7.3,10.7,9.0
BAL,5.8,9.8,7.8
SEA,3.4,4.9,4.2
IND,4.5,2.3,3.4
MIA,1.6,2.9,2.2
DEN,2.5,1.1,1.8
NYG,1.2,0.8,1.0
TB,0.2,0.3,0.3
DET,0.1,0.2,0.2
PHI,0.1,0.2,0.1
ATL,0.2,0.0,0.1
DAL,0.1,0.0,0.1
CHI,0.1,0.0,0.0
MIN,0.1,0.0,0.0
NO,0.1,0.0,0.0
HOU,0.0,0.0,0.0
CAR,0.0,0.0,0.0
NYJ,0.0,0.0,0.0
OAK,0.0,0.0,0.0
TEN,0.0,0.0,0.0
JAX,0.0,0.0,0.0
KC,0.0,0.0,0.0
CIN,0.0,0.0,0.0
BUF,0.0,0.0,0.0
SD,0.0,0.0,0.0
STL,0.0,0.0,0.0
