Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
DEN,32.8,13.0,13.8,19.8
GB,13.6,18.7,16.6,16.3
NE,13.4,14.5,17.9,15.3
OAK,14.7,11.0,9.5,11.8
SEA,9.9,12.6,9.3,10.6
NO,6.0,12.8,10.8,9.9
ATL,1.5,4.4,3.5,3.1
PIT,1.4,3.6,2.8,2.6
SD,1.1,2.6,3.2,2.3
DAL,1.8,2.3,2.3,2.1
BAL,0.4,1.2,2.1,1.2
CHI,0.7,0.9,1.8,1.2
IND,0.8,0.7,0.8,0.8
ARI,0.1,0.2,1.5,0.6
SF,0.5,0.5,0.5,0.5
PHI,0.5,0.4,0.5,0.4
MIN,0.1,0.0,0.7,0.3
CIN,0.1,0.1,0.6,0.3
NYJ,0.1,0.1,0.4,0.2
WAS,0.2,0.1,0.2,0.2
TB,0.1,0.1,0.2,0.1
KC,0.0,0.0,0.4,0.1
DET,0.1,0.0,0.1,0.1
BUF,0.0,0.0,0.2,0.1
MIA,0.0,0.0,0.1,0.0
JAX,0.0,0.0,0.1,0.0
NYG,0.0,0.0,0.0,0.0
LAR,0.0,0.0,0.0,0.0
CAR,0.0,0.0,0.0,0.0
HOU,0.0,0.0,0.0,0.0
