Team,YahooYahoo,Average
NYG,70.6,70.6
NO,8.8,8.8
NE,3.8,3.8
HOU,3.8,3.8
SD,3.5,3.5
DET,1.9,1.9
GB,1.7,1.7
IND,1.3,1.3
CIN,0.8,0.8
MIN,0.8,0.8
PHI,0.7,0.7
PIT,0.5,0.5
SF,0.4,0.4
BUF,0.3,0.3
TB,0.3,0.3
KC,0.2,0.2
TEN,0.2,0.2
JAX,0.2,0.2
ARI,0.2,0.2
CHI,0.1,0.1
OAK,0.1,0.1
ATL,0.0,0.0
NYJ,0.0,0.0
CAR,0.0,0.0
SEA,0.0,0.0
DEN,0.0,0.0
