Team,YahooYahoo,OfficeFootballPoolOFP,Average
MIA,32.3,35.8,34.0
DET,28.7,31.1,29.9
GB,12.4,7.2,9.8
MIN,8.0,7.6,7.8
HOU,7.8,7.5,7.7
SF,4.3,4.3,4.3
LAR,3.5,3.6,3.6
PHI,0.5,0.5,0.5
NYJ,0.4,0.5,0.5
NO,0.4,0.4,0.4
ATL,0.1,0.3,0.2
DEN,0.2,0.2,0.2
CIN,0.3,0.1,0.2
BAL,0.2,0.1,0.2
LAC,0.2,0.1,0.1
DAL,0.0,0.2,0.1
KC,0.1,0.1,0.1
BUF,0.1,0.1,0.1
IND,0.1,0.1,0.1
CLE,0.1,0.1,0.1
NE,0.0,0.1,0.1
PIT,0.1,0.0,0.0
WSH,0.1,0.0,0.0
LV,0.0,0.0,0.0
TEN,0.0,0.0,0.0
CHI,0.0,0.0,0.0
JAX,0.0,0.0,0.0
SEA,0.0,0.0,0.0
ARI,0.0,0.0,0.0
NYG,0.0,0.0,0.0
TB,0.0,0.0,0.0
CAR,0.0,0.0,0.0
