Team,YahooYahoo,Average
PIT,44.4,44.4
GB,12.8,12.8
DET,11.3,11.3
NYJ,9.5,9.5
BAL,9.0,9.0
NYG,3.2,3.2
DAL,1.6,1.6
BUF,1.3,1.3
HOU,1.1,1.1
NO,0.9,0.9
DEN,0.8,0.8
NE,0.8,0.8
WAS,0.7,0.7
CLE,0.7,0.7
PHI,0.5,0.5
MIN,0.4,0.4
IND,0.3,0.3
TB,0.2,0.2
OAK,0.2,0.2
CIN,0.1,0.1
ARI,0.1,0.1
SF,0.1,0.1
MIA,0.1,0.1
CHI,0.1,0.1
ATL,0.0,0.0
KC,0.0,0.0
STL,0.0,0.0
SD,0.0,0.0
SEA,0.0,0.0
CAR,0.0,0.0
TEN,0.0,0.0
JAX,0.0,0.0
