Team,YahooYahoo,OfficeFootballPoolOFP,Average
NYG,38.2,34.9,36.5
SF,19.4,29.4,24.4
GB,13.5,9.6,11.6
MIN,6.7,7.3,7.0
HOU,4.6,4.5,4.6
CHI,5.1,3.6,4.3
CIN,3.9,3.2,3.5
BAL,3.5,2.6,3.1
NE,0.7,1.5,1.1
NO,0.9,1.0,1.0
ARI,1.2,0.5,0.9
CAR,0.5,0.8,0.7
PIT,0.5,0.7,0.6
ATL,0.5,0.3,0.4
STL,0.1,0.1,0.1
SD,0.1,0.0,0.1
SEA,0.1,0.0,0.1
PHI,0.1,0.0,0.0
WAS,0.1,0.0,0.0
MIA,0.0,0.0,0.0
DEN,0.0,0.0,0.0
NYJ,0.0,0.0,0.0
KC,0.0,0.0,0.0
JAX,0.0,0.0,0.0
IND,0.0,0.0,0.0
CLE,0.0,0.0,0.0
BUF,0.0,0.0,0.0
TEN,0.0,0.0,0.0
