Team,YahooYahoo,OfficeFootballPoolOFP,Average
BAL,29.4,31.6,30.5
LAC,27.8,18.5,23.2
HOU,8.7,12.7,10.7
PHI,6.5,7.1,6.8
DET,4.0,7.5,5.7
DAL,4.1,6.1,5.1
WSH,3.4,1.8,2.6
NYJ,2.7,2.4,2.6
SF,2.8,2.2,2.5
IND,2.8,2.1,2.5
KC,2.0,2.9,2.4
JAX,1.3,1.6,1.4
PIT,1.4,1.1,1.2
SEA,0.9,0.9,0.9
LAR,0.5,0.2,0.4
MIA,0.3,0.2,0.3
ARI,0.1,0.3,0.2
BUF,0.3,0.1,0.2
NYG,0.1,0.2,0.2
GB,0.2,0.1,0.1
NE,0.1,0.1,0.1
DEN,0.1,0.1,0.1
TB,0.1,0.0,0.1
TEN,0.1,0.0,0.1
NO,0.1,0.0,0.1
CLE,0.1,0.0,0.0
CHI,0.1,0.0,0.0
MIN,0.1,0.0,0.0
LV,0.1,0.0,0.0
CAR,0.0,0.0,0.0
ATL,0.0,0.0,0.0
CIN,0.0,0.0,0.0
