Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
SEA,38.1,35.3,34.2,35.9
KC,13.2,15.8,14.0,14.3
HOU,10.9,14.6,12.4,12.6
GB,11.8,7.3,8.4,9.2
ARI,3.1,7.3,5.6,5.3
PHI,5.8,4.4,4.6,4.9
IND,3.9,3.1,3.8,3.6
PIT,2.1,1.7,1.8,1.9
NO,0.8,0.8,4.0,1.8
CAR,1.5,1.5,1.5,1.5
LAR,1.7,1.2,1.1,1.3
BAL,0.7,1.4,1.5,1.2
ATL,1.1,1.1,1.3,1.1
NYG,1.1,0.9,1.0,1.0
CIN,0.7,0.6,0.7,0.7
TEN,0.7,0.4,0.8,0.6
MIN,0.6,0.6,0.7,0.6
OAK,0.4,0.3,0.4,0.4
CLE,0.3,0.2,0.3,0.3
SF,0.2,0.2,0.3,0.2
NYJ,0.1,0.2,0.3,0.2
DAL,0.2,0.2,0.2,0.2
BUF,0.2,0.1,0.3,0.2
DEN,0.2,0.1,0.3,0.2
TB,0.2,0.1,0.1,0.1
NE,0.1,0.1,0.1,0.1
DET,0.1,0.1,0.1,0.1
WAS,0.1,0.1,0.1,0.1
CHI,0.1,0.0,0.1,0.0
SD,0.1,0.0,0.1,0.0
JAX,0.1,0.0,0.1,0.0
MIA,0.1,0.0,0.1,0.0
