Team,YahooYahoo,OfficeFootballPoolOFP,Average
HOU,33.0,34.9,34.0
DET,23.9,17.1,20.5
CHI,15.1,16.5,15.8
PHI,10.2,9.5,9.8
NO,3.5,8.2,5.8
BAL,2.5,3.7,3.1
NE,2.8,2.5,2.6
MIN,1.5,1.4,1.5
NYG,1.4,1.1,1.2
SEA,1.3,0.8,1.1
ATL,1.1,0.8,1.0
CAR,0.9,0.8,0.9
GB,0.5,0.7,0.6
NYJ,0.3,0.5,0.4
SD,0.4,0.2,0.3
DEN,0.2,0.4,0.3
BUF,0.4,0.2,0.3
OAK,0.2,0.1,0.2
PIT,0.2,0.1,0.1
DAL,0.1,0.1,0.1
JAX,0.1,0.1,0.1
ARI,0.1,0.1,0.1
KC,0.1,0.1,0.1
TB,0.1,0.1,0.1
SF,0.1,0.0,0.0
IND,0.1,0.0,0.0
WAS,0.0,0.0,0.0
CLE,0.0,0.0,0.0
MIA,0.0,0.0,0.0
TEN,0.0,0.0,0.0
STL,0.0,0.0,0.0
CIN,0.0,0.0,0.0
