Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
LAR,21.9,22.0,29.0,24.3
TEN,15.8,25.1,17.6,19.5
BAL,23.4,14.1,13.9,17.1
ARI,9.0,10.4,7.5,9.0
PIT,8.4,6.7,5.3,6.8
CLE,5.4,4.8,4.7,5.0
IND,3.0,3.9,2.8,3.3
TB,3.2,2.9,3.0,3.0
GB,2.2,2.1,3.2,2.5
BUF,2.0,1.8,2.8,2.2
SF,1.6,1.5,2.0,1.7
LV,1.3,1.6,1.6,1.5
SEA,1.0,1.1,2.1,1.4
MIN,0.5,0.6,1.1,0.7
NE,0.2,0.2,0.9,0.4
CHI,0.2,0.2,0.3,0.2
KC,0.4,0.1,0.2,0.2
MIA,0.2,0.1,0.2,0.2
DAL,0.2,0.1,0.1,0.1
LAC,0.0,0.0,0.3,0.1
NYG,0.0,0.0,0.3,0.1
CIN,0.0,0.2,0.0,0.1
ATL,0.0,0.1,0.1,0.1
DEN,0.0,0.0,0.2,0.1
PHI,0.0,0.0,0.2,0.1
HOU,0.0,0.0,0.2,0.1
NYJ,0.0,0.0,0.1,0.0
DET,0.0,0.0,0.1,0.0
NO,0.0,0.0,0.0,0.0
CAR,0.0,0.0,0.1,0.0
JAX,0.0,0.0,0.0,0.0
WAS,0.0,0.0,0.0,0.0
