Team,YahooYahoo,OfficeFootballPoolOFP,Average
SF,28.2,31.0,29.6
NYJ,19.9,22.3,21.1
DAL,14.1,12.0,13.1
HOU,13.4,11.1,12.2
KC,6.0,6.4,6.2
CIN,4.9,5.4,5.1
PIT,3.7,1.8,2.8
ARI,1.3,2.3,1.8
DET,1.3,1.8,1.5
LAR,1.6,0.3,0.9
CHI,0.3,0.9,0.6
CLE,0.3,0.8,0.6
NO,0.9,0.2,0.5
TEN,0.4,0.6,0.5
LV,0.3,0.7,0.5
MIN,0.8,0.2,0.5
PHI,0.5,0.2,0.4
MIA,0.3,0.4,0.3
BUF,0.4,0.1,0.3
ATL,0.2,0.3,0.3
GB,0.2,0.3,0.3
WSH,0.2,0.2,0.2
CAR,0.2,0.2,0.2
NYG,0.2,0.1,0.1
SEA,0.1,0.1,0.1
TB,0.1,0.1,0.1
IND,0.1,0.1,0.1
BAL,0.1,0.1,0.1
DEN,0.1,0.0,0.0
NE,0.0,0.0,0.0
JAX,0.0,0.0,0.0
LAC,0.0,0.0,0.0
