Team,YahooYahoo,OfficeFootballPoolOFP,Average
CLE,57.8,54.0,55.9
NO,34.6,38.9,36.8
ATL,1.7,1.8,1.7
BAL,0.9,1.4,1.1
IND,1.5,0.6,1.0
PIT,0.9,0.7,0.8
LAC,1.0,0.5,0.7
NE,0.4,0.5,0.4
LV,0.4,0.2,0.3
GB,0.1,0.4,0.3
PHI,0.2,0.2,0.2
CIN,0.2,0.2,0.2
TB,0.2,0.1,0.2
HOU,0.1,0.2,0.1
LAR,0.3,0.0,0.1
NYG,0.1,0.1,0.1
TEN,0.2,0.0,0.1
WAS,0.1,0.0,0.1
KC,0.1,0.0,0.0
BUF,0.1,0.0,0.0
NYJ,0.0,0.0,0.0
MIA,0.0,0.0,0.0
MIN,0.0,0.0,0.0
ARI,0.0,0.0,0.0
DAL,0.0,0.0,0.0
CAR,0.0,0.0,0.0
SEA,0.0,0.0,0.0
CHI,0.0,0.0,0.0
DEN,0.0,0.0,0.0
DET,0.0,0.0,0.0
JAX,0.0,0.0,0.0
SF,0.0,0.0,0.0
