Team
Detroit,10.8
Buffalo,8.5
Baltimore,8.4
Green Bay,7.3
Philadelphia,7.2
Kansas City,6.1
Minnesota,4.6
Tampa Bay,4.1
LA Chargers,3.4
Pittsburgh,2.0
Cincinnati,1.9
Washington,1.8
Denver,1.6
San Francisco,1.3
Houston,0.7
LA Rams,0.3
Seattle,0.0
Arizona,-0.4
Miami,-0.5
Atlanta,-1.4
Chicago,-2.5
Indianapolis,-2.7
NY Jets,-3.2
Dallas,-4.1
New Orleans,-4.3
Jacksonville,-5.1
Las Vegas,-5.6
Cleveland,-6.3
Tennessee,-6.8
NY Giants,-8.0
New England,-8.1
Carolina,-11.0
