Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
SD,62.5,56.5,54.0,57.6
PIT,16.5,18.5,18.1,17.7
IND,13.0,18.3,18.4,16.6
ATL,3.4,1.8,2.8,2.7
MIA,1.1,1.1,1.0,1.1
WAS,0.9,0.8,1.0,0.9
SF,0.3,0.7,0.6,0.5
DET,0.6,0.3,0.7,0.5
BAL,0.3,0.5,0.6,0.5
GB,0.1,0.3,0.6,0.3
HOU,0.3,0.3,0.5,0.3
NO,0.3,0.2,0.5,0.3
NE,0.3,0.2,0.4,0.3
NYG,0.1,0.1,0.2,0.1
OAK,0.1,0.1,0.1,0.1
KC,0.0,0.1,0.0,0.1
JAX,0.0,0.1,0.1,0.1
CHI,0.1,0.0,0.1,0.1
PHI,0.1,0.0,0.1,0.1
BUF,0.1,0.0,0.1,0.0
NYJ,0.0,0.0,0.1,0.0
DAL,0.0,0.0,0.0,0.0
CAR,0.0,0.0,0.0,0.0
MIN,0.0,0.0,0.1,0.0
TB,0.0,0.0,0.0,0.0
TEN,0.0,0.0,0.0,0.0
