Team,YahooYahoo,OfficeFootballPoolOFP,Average
TB,30.2,26.8,28.5
LV,24.6,16.8,20.7
CLE,13.4,15.3,14.3
CIN,10.1,16.9,13.5
NYJ,4.8,7.4,6.1
BUF,5.2,4.4,4.8
SEA,3.0,3.9,3.5
SF,3.0,3.8,3.4
KC,1.6,0.9,1.2
IND,0.5,0.5,0.5
TEN,0.2,0.7,0.5
DET,0.5,0.4,0.4
NO,0.5,0.3,0.4
PIT,0.3,0.4,0.3
GB,0.5,0.1,0.3
BAL,0.2,0.3,0.2
HOU,0.3,0.2,0.2
CHI,0.2,0.1,0.2
MIN,0.2,0.1,0.2
NE,0.2,0.1,0.1
LAC,0.2,0.1,0.1
CAR,0.1,0.2,0.1
NYG,0.1,0.1,0.1
DAL,0.1,0.1,0.1
PHI,0.1,0.0,0.1
ARI,0.1,0.0,0.1
MIA,0.1,0.0,0.0
DEN,0.1,0.0,0.0
WSH,0.1,0.0,0.0
LAR,0.0,0.0,0.0
ATL,0.0,0.0,0.0
JAX,0.0,0.0,0.0
