Team,YahooYahoo,Average
ATL,33.9,33.9
PIT,22.0,22.0
CIN,16.4,16.4
CAR,7.3,7.3
DAL,6.8,6.8
NYJ,3.6,3.6
HOU,2.7,2.7
NO,1.3,1.3
NE,1.2,1.2
SEA,1.0,1.0
GB,0.9,0.9
SD,0.7,0.7
OAK,0.6,0.6
SF,0.3,0.3
CHI,0.2,0.2
DET,0.2,0.2
BAL,0.2,0.2
TEN,0.1,0.1
STL,0.1,0.1
DEN,0.1,0.1
MIA,0.1,0.1
TB,0.1,0.1
IND,0.1,0.1
ARI,0.1,0.1
WAS,0.1,0.1
NYG,0.1,0.1
JAX,0.0,0.0
PHI,0.0,0.0
CLE,0.0,0.0
BUF,0.0,0.0
KC,0.0,0.0
MIN,0.0,0.0
