Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
PHI,49.7,44.6,44.1,46.1
KC,21.0,24.5,20.5,22.0
NE,12.6,16.6,17.6,15.6
CHI,5.4,4.1,4.1,4.5
LAC,2.6,2.9,3.2,2.9
MIN,2.7,2.2,2.7,2.5
HOU,1.1,1.3,1.1,1.2
NO,1.1,0.5,1.7,1.1
SF,0.7,0.7,0.7,0.7
BAL,0.8,0.4,0.7,0.6
TEN,0.2,0.5,0.8,0.5
ARI,0.7,0.2,0.3,0.4
CIN,0.2,0.4,0.5,0.4
CAR,0.2,0.3,0.4,0.3
BUF,0.4,0.1,0.2,0.3
SEA,0.1,0.1,0.2,0.1
DAL,0.1,0.2,0.2,0.1
LAR,0.1,0.1,0.2,0.1
CLE,0.1,0.1,0.2,0.1
JAX,0.1,0.0,0.1,0.1
PIT,0.0,0.0,0.1,0.0
NYG,0.0,0.0,0.1,0.0
OAK,0.0,0.0,0.1,0.0
GB,0.1,0.0,0.1,0.0
TB,0.0,0.0,0.0,0.0
ATL,0.0,0.0,0.0,0.0
WAS,0.0,0.0,0.0,0.0
NYJ,0.0,0.0,0.0,0.0
DEN,0.0,0.0,0.0,0.0
IND,0.0,0.0,0.0,0.0
