Team,YahooYahoo,OfficeFootballPoolOFP,Average
CAR,35.9,44.2,40.0
IND,29.1,19.2,24.1
NE,11.6,10.7,11.2
DEN,6.7,8.7,7.7
GB,5.6,5.0,5.3
WAS,5.1,4.9,5.0
CHI,1.5,2.2,1.9
ATL,1.7,0.7,1.2
MIA,0.6,1.0,0.8
HOU,0.6,0.6,0.6
TB,0.3,0.8,0.5
PIT,0.3,0.6,0.5
NYJ,0.0,0.4,0.2
NO,0.3,0.1,0.2
SF,0.1,0.2,0.2
NYG,0.1,0.2,0.2
SD,0.2,0.1,0.2
DAL,0.1,0.0,0.1
KC,0.0,0.1,0.1
SEA,0.1,0.0,0.1
BAL,0.1,0.0,0.0
STL,0.1,0.0,0.0
TEN,0.0,0.0,0.0
DET,0.0,0.0,0.0
CLE,0.0,0.0,0.0
MIN,0.0,0.0,0.0
BUF,0.0,0.0,0.0
ARI,0.0,0.0,0.0
CIN,0.0,0.0,0.0
JAX,0.0,0.0,0.0
OAK,0.0,0.0,0.0
PHI,0.0,0.0,0.0
