Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
SD,25.3,42.3,25.1,30.9
SF,31.2,11.7,5.5,16.1
CIN,15.1,13.4,13.8,14.1
DET,6.5,9.9,7.8,8.1
DEN,8.7,3.8,2.6,5.0
SEA,3.4,2.2,5.9,3.8
GB,0.5,0.3,8.3,3.1
NYJ,0.4,3.1,4.6,2.7
STL,1.6,1.9,3.9,2.5
TEN,0.4,0.6,6.4,2.5
MIA,2.2,2.6,2.0,2.3
KC,1.5,3.6,1.3,2.1
PHI,0.4,1.5,0.8,0.9
CHI,0.2,0.3,1.9,0.8
DAL,0.8,0.4,0.9,0.7
NO,0.3,0.0,1.6,0.6
BUF,0.2,0.5,1.2,0.6
CLE,0.2,0.4,1.2,0.6
WAS,0.2,0.3,0.8,0.4
TB,0.0,0.1,0.8,0.3
MIN,0.1,0.0,0.8,0.3
IND,0.0,0.0,0.8,0.3
NE,0.3,0.0,0.6,0.3
NYG,0.1,0.0,0.7,0.3
PIT,0.3,0.3,0.1,0.2
BAL,0.1,0.3,0.2,0.2
CAR,0.3,0.0,0.1,0.1
JAX,0.0,0.1,0.2,0.1
OAK,0.1,0.0,0.1,0.1
ATL,0.0,0.1,0.0,0.1
ARI,0.0,0.0,0.1,0.0
HOU,0.0,0.0,0.0,0.0
