Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
PIT,37.1,22.5,23.0,27.5
BUF,26.4,26.9,22.5,25.3
TEN,17.9,21.7,17.0,18.9
NE,7.3,14.0,14.2,11.8
ARI,5.3,8.3,12.6,8.7
DEN,1.7,1.2,1.7,1.5
SEA,0.5,1.2,1.8,1.2
GB,0.7,0.9,1.8,1.1
NYG,0.4,0.9,1.0,0.7
DET,0.3,0.5,0.9,0.6
OAK,0.4,0.3,0.7,0.5
PHI,0.5,0.4,0.6,0.5
HOU,0.3,0.4,0.5,0.4
CHI,0.3,0.3,0.4,0.3
JAX,0.2,0.1,0.2,0.2
CAR,0.1,0.1,0.2,0.2
KC,0.1,0.1,0.2,0.1
NO,0.1,0.1,0.1,0.1
SD,0.0,0.1,0.1,0.1
IND,0.1,0.0,0.1,0.1
LAR,0.1,0.0,0.1,0.1
ATL,0.1,0.0,0.1,0.1
WAS,0.0,0.0,0.1,0.0
CLE,0.0,0.0,0.1,0.0
SF,0.0,0.0,0.1,0.0
BAL,0.0,0.0,0.0,0.0
DAL,0.0,0.0,0.0,0.0
NYJ,0.0,0.0,0.0,0.0
MIA,0.0,0.0,0.0,0.0
CIN,0.0,0.0,0.0,0.0
