Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
ARI,34.6,28.1,23.3,28.6
CIN,21.7,20.1,20.7,20.8
HOU,7.2,19.4,17.9,14.8
SEA,19.2,9.7,12.4,13.8
NYG,3.6,9.3,2.1,5.0
PHI,2.5,3.1,1.9,2.5
DET,3.5,1.5,2.3,2.4
DEN,0.9,1.9,2.6,1.8
IND,1.4,0.8,1.4,1.2
BUF,0.1,0.9,2.3,1.1
NE,0.6,0.4,2.3,1.1
NO,1.2,1.0,1.0,1.1
SD,0.8,1.2,1.1,1.0
CHI,0.7,0.7,1.5,1.0
NYJ,1.0,1.1,0.8,1.0
ATL,0.3,0.3,1.6,0.7
GB,0.1,0.0,1.7,0.6
MIA,0.1,0.0,1.0,0.3
PIT,0.1,0.1,0.7,0.3
CAR,0.2,0.2,0.2,0.2
WAS,0.1,0.1,0.3,0.1
TB,0.1,0.1,0.1,0.1
JAX,0.1,0.0,0.2,0.1
BAL,0.1,0.0,0.2,0.1
TEN,0.0,0.0,0.2,0.1
KC,0.1,0.0,0.1,0.1
CLE,0.1,0.0,0.1,0.1
OAK,0.0,0.0,0.1,0.1
SF,0.0,0.0,0.1,0.0
MIN,0.0,0.0,0.1,0.0
