Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
ARI,48.6,42.7,35.9,42.4
BAL,35.3,38.2,33.3,35.6
SD,5.5,7.9,14.5,9.3
NE,2.0,3.2,2.8,2.7
GB,1.7,1.2,2.3,1.7
HOU,2.0,0.7,1.2,1.3
TB,0.6,0.6,1.9,1.0
CAR,0.4,1.2,1.5,1.0
NYJ,0.3,0.5,1.4,0.7
NYG,0.9,0.8,0.5,0.7
ATL,0.9,0.4,0.6,0.6
PIT,0.2,0.3,1.1,0.5
WAS,0.3,0.7,0.4,0.5
NO,0.2,0.5,0.4,0.4
CHI,0.2,0.2,0.3,0.2
PHI,0.1,0.2,0.3,0.2
DEN,0.1,0.0,0.4,0.2
DAL,0.2,0.1,0.2,0.2
MIN,0.1,0.0,0.4,0.2
LAR,0.1,0.1,0.2,0.1
JAX,0.1,0.1,0.2,0.1
KC,0.2,0.0,0.2,0.1
CLE,0.1,0.0,0.1,0.1
CIN,0.1,0.0,0.1,0.1
MIA,0.0,0.0,0.1,0.0
SF,0.0,0.0,0.1,0.0
SEA,0.0,0.0,0.0,0.0
TEN,0.0,0.0,0.0,0.0
