Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
CIN,49.4,35.7,35.7,40.3
SEA,28.7,37.0,34.4,33.3
SF,6.8,11.8,12.9,10.5
KC,10.8,10.8,9.8,10.5
CLE,2.3,2.8,2.1,2.4
IND,0.5,0.3,0.7,0.5
PIT,0.1,0.3,1.0,0.5
NO,0.3,0.2,0.6,0.4
PHI,0.2,0.1,0.5,0.2
MIN,0.1,0.2,0.3,0.2
DAL,0.1,0.1,0.4,0.2
ARI,0.2,0.1,0.3,0.2
SD,0.2,0.0,0.3,0.2
WAS,0.1,0.1,0.2,0.1
MIA,0.0,0.1,0.2,0.1
TB,0.0,0.0,0.2,0.1
DEN,0.1,0.0,0.1,0.1
CAR,0.1,0.0,0.1,0.1
BAL,0.0,0.0,0.1,0.1
NYG,0.0,0.0,0.1,0.0
NE,0.0,0.0,0.0,0.0
HOU,0.0,0.0,0.1,0.0
NYJ,0.0,0.0,0.1,0.0
JAX,0.0,0.0,0.0,0.0
OAK,0.0,0.0,0.0,0.0
STL,0.0,0.0,0.0,0.0
