Team,YahooYahoo,OfficeFootballPoolOFP,Average
LAC,31.0,32.3,31.6
MIN,20.1,20.7,20.4
CHI,10.5,11.9,11.2
KC,11.3,9.7,10.5
NYG,4.2,8.4,6.3
PHI,5.5,5.4,5.5
ATL,5.5,2.4,4.0
BUF,4.2,2.1,3.2
BAL,2.4,2.3,2.4
SF,1.4,2.3,1.9
DET,1.4,0.8,1.1
LAR,0.9,0.9,0.9
ARI,0.5,0.2,0.4
WSH,0.3,0.1,0.2
NYJ,0.2,0.1,0.1
PIT,0.1,0.1,0.1
MIA,0.1,0.1,0.1
JAX,0.0,0.1,0.1
CAR,0.1,0.0,0.1
CIN,0.1,0.0,0.0
TB,0.1,0.0,0.0
NE,0.1,0.0,0.0
DEN,0.0,0.0,0.0
TEN,0.0,0.0,0.0
DAL,0.0,0.0,0.0
IND,0.0,0.0,0.0
NO,0.0,0.0,0.0
HOU,0.0,0.0,0.0
GB,0.0,0.0,0.0
CLE,0.0,0.0,0.0
LV,0.0,0.0,0.0
SEA,0.0,0.0,0.0
