Team,YahooYahoo,OfficeFootballPoolOFP,Average
PHI,20.2,10.9,15.5
HOU,7.6,20.0,13.8
JAX,13.1,13.5,13.3
CLE,15.0,11.6,13.3
BUF,14.3,4.7,9.5
LAR,7.4,5.7,6.5
DEN,3.6,8.9,6.2
SF,8.1,0.8,4.5
CHI,2.3,3.6,2.9
IND,1.0,4.2,2.6
TB,1.9,3.2,2.6
MIN,0.5,3.7,2.1
SEA,0.8,1.2,1.0
LV,0.6,1.3,0.9
KC,1.1,0.7,0.9
BAL,1.1,0.7,0.9
ATL,0.1,0.7,0.4
NYG,0.1,0.7,0.4
LAC,0.1,0.7,0.4
TEN,0.0,0.7,0.4
GB,0.3,0.3,0.3
NYJ,0.1,0.4,0.3
PIT,0.0,0.5,0.3
DAL,0.4,0.1,0.3
NO,0.1,0.3,0.2
CAR,0.1,0.2,0.1
ARI,0.0,0.2,0.1
NE,0.0,0.2,0.1
CIN,0.1,0.1,0.1
WAS,0.0,0.1,0.1
MIA,0.1,0.0,0.1
DET,0.1,0.0,0.0
