Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
CHI,33.5,46.2,14.1,31.3
NE,18.5,7.9,6.9,11.1
PIT,8.7,13.5,4.6,8.9
CIN,11.2,4.3,8.6,8.1
BUF,0.0,2.9,12.6,5.2
DEN,8.5,3.9,3.0,5.2
WAS,5.8,6.8,1.4,4.7
KC,1.8,0.9,7.8,3.5
CAR,5.0,3.0,2.4,3.5
TEN,0.0,1.3,5.9,2.4
DAL,0.0,0.5,6.2,2.2
NYG,0.1,0.6,5.4,2.0
MIA,1.3,2.6,1.8,1.9
ARI,1.7,1.0,1.5,1.4
SEA,0.2,0.6,3.1,1.3
ATL,0.4,0.1,2.9,1.1
GB,0.6,0.4,2.2,1.1
NO,0.1,0.1,2.1,0.8
NYJ,0.1,0.2,1.9,0.7
TB,0.0,1.2,0.5,0.6
OAK,0.1,0.2,1.3,0.5
SF,0.1,0.2,1.2,0.5
MIN,0.6,0.4,0.2,0.4
HOU,0.6,0.1,0.5,0.4
JAX,0.6,0.1,0.4,0.4
BAL,0.1,0.1,0.6,0.3
DET,0.1,0.3,0.2,0.2
STL,0.0,0.1,0.3,0.1
CLE,0.0,0.0,0.3,0.1
SD,0.1,0.0,0.1,0.1
IND,0.0,0.0,0.2,0.1
PHI,0.0,0.0,0.1,0.0
