Team,YahooYahoo,OfficeFootballPoolOFP,Average
BAL,35.9,33.4,34.7
WAS,27.4,26.9,27.2
MIN,9.3,11.5,10.4
JAX,6.4,6.1,6.2
SEA,3.0,6.6,4.8
KC,6.0,3.2,4.6
PHI,2.4,2.6,2.5
ATL,1.6,2.4,2.0
CIN,1.3,0.6,1.0
CHI,0.8,0.8,0.8
DEN,0.5,1.0,0.8
BUF,0.8,0.6,0.7
SF,0.7,0.6,0.7
DAL,0.6,0.7,0.6
NO,0.5,0.7,0.6
LAC,0.3,0.5,0.4
NYJ,0.3,0.3,0.3
LV,0.3,0.2,0.3
PIT,0.2,0.2,0.2
GB,0.2,0.2,0.2
DET,0.3,0.1,0.2
CAR,0.2,0.1,0.1
MIA,0.2,0.1,0.1
NYG,0.2,0.1,0.1
CLE,0.1,0.1,0.1
TEN,0.1,0.1,0.1
ARI,0.1,0.1,0.1
LAR,0.1,0.0,0.1
HOU,0.1,0.0,0.1
TB,0.1,0.0,0.1
IND,0.1,0.0,0.0
NE,0.1,0.0,0.0
