Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
HOU,43.7,39.2,31.4,38.1
DEN,18.2,11.9,10.5,13.5
SEA,14.4,12.1,12.8,13.1
DAL,5.6,6.0,4.4,5.3
MIA,4.3,4.7,6.1,5.0
MIN,2.2,8.4,1.5,4.0
BAL,2.1,3.2,6.2,3.8
ATL,1.3,4.1,3.2,2.9
NO,2.1,0.9,5.3,2.8
NE,0.7,0.5,3.9,1.7
IND,1.9,1.0,2.0,1.7
SF,0.8,1.8,2.2,1.6
PIT,0.8,1.4,1.6,1.3
CHI,0.1,0.1,2.0,0.7
NYG,0.1,1.2,0.6,0.7
GB,0.5,0.3,1.2,0.6
KC,0.2,0.9,0.7,0.6
PHI,0.2,0.2,0.9,0.4
CAR,0.3,0.2,0.6,0.4
WAS,0.1,0.1,0.8,0.3
NYJ,0.0,0.3,0.4,0.3
SD,0.3,0.1,0.3,0.2
TB,0.1,0.5,0.1,0.2
CIN,0.1,0.1,0.4,0.2
JAX,0.1,0.2,0.3,0.2
OAK,0.0,0.3,0.1,0.2
TEN,0.0,0.2,0.1,0.1
ARI,0.1,0.1,0.2,0.1
BUF,0.0,0.2,0.1,0.1
CLE,0.0,0.0,0.2,0.1
STL,0.0,0.1,0.0,0.1
DET,0.0,0.0,0.1,0.0
