Team,YahooYahoo,OfficeFootballPoolOFP,Average
JAX,24.5,39.6,32.0
PIT,22.7,27.7,25.2
TB,32.9,16.1,24.5
LAC,8.7,7.7,8.2
LAR,1.9,4.1,3.0
MIA,3.0,0.8,1.9
KC,2.1,0.7,1.4
DAL,1.3,0.2,0.7
HOU,0.6,0.8,0.7
ATL,0.7,0.5,0.6
DET,0.6,0.4,0.5
IND,0.3,0.3,0.3
NYJ,0.1,0.2,0.2
TEN,0.1,0.2,0.2
DEN,0.1,0.2,0.1
PHI,0.1,0.1,0.1
NE,0.0,0.1,0.1
CIN,0.0,0.1,0.1
NO,0.0,0.1,0.1
SF,0.1,0.0,0.0
GB,0.0,0.0,0.0
CLE,0.0,0.0,0.0
CAR,0.0,0.0,0.0
ARI,0.0,0.0,0.0
SEA,0.0,0.0,0.0
WAS,0.0,0.0,0.0
BAL,0.0,0.0,0.0
BUF,0.0,0.0,0.0
CHI,0.0,0.0,0.0
MIN,0.0,0.0,0.0
NYG,0.0,0.0,0.0
LV,0.0,0.0,0.0
