Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
IND,47.8,42.1,35.6,41.4
NE,16.4,17.3,24.5,18.2
PIT,7.7,12.0,8.5,8.3
TB,8.8,6.2,6.7,8.0
HOU,4.0,2.7,3.1,4.6
KC,4.0,3.4,3.3,4.2
DEN,2.2,4.4,3.0,3.1
SEA,2.2,1.8,2.2,2.1
STL,1.4,2.7,2.4,2.0
CLE,0.6,0.9,3.9,1.6
DET,1.2,2.1,1.6,1.5
WAS,0.8,1.1,1.2,1.2
CHI,0.6,0.6,0.7,0.6
MIA,0.4,0.3,0.5,0.6
SF,0.3,0.7,0.6,0.5
NO,0.2,0.4,0.3,0.3
DAL,0.2,0.3,0.3,0.3
BAL,0.1,0.1,0.2,0.2
NYG,0.1,0.1,0.2,0.2
ARI,0.1,0.1,0.2,0.2
MIN,0.1,0.1,0.2,0.2
CIN,0.2,0.1,0.2,0.2
ATL,0.1,0.1,0.1,0.1
PHI,0.1,0.1,0.1,0.1
NYJ,0.1,0.1,0.2,0.1
JAX,0.1,0.1,0.1,0.1
GB,0.1,0.1,0.1,0.1
SD,0.1,0.0,0.0,0.1
OAK,0.0,0.0,0.1,0.1
BUF,0.0,0.0,0.1,0.1
CAR,0.0,0.0,0.1,0.1
TEN,0.0,0.0,0.1,0.1
