T,e,a,m
Detroit
Baltimore
Buffalo
Philadelphia
Green Bay
Kansas City
Tampa Bay
Minnesota
LA Chargers
Denver
Washington
Cincinnati
Houston
Pittsburgh
LA Rams
Arizona
Seattle
San Francisco
Miami
Chicago
Atlanta
NY Jets
Indianapolis
Dallas
New Orleans
Jacksonville
Las Vegas
Cleveland
Tennessee
New England
NY Giants
Carolina
