Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
SEA,38.0,42.5,35.2,38.6
NE,37.2,28.7,32.1,32.7
ARI,5.2,6.1,5.2,5.5
CAR,3.4,4.9,5.5,4.6
HOU,2.0,4.5,4.4,3.6
NYG,2.4,3.1,3.4,2.9
GB,2.1,2.7,2.5,2.4
IND,1.6,1.2,1.9,1.6
ATL,1.6,1.2,1.9,1.5
DEN,1.7,0.8,1.1,1.2
PIT,1.2,0.8,1.3,1.1
CLE,0.7,1.0,1.2,1.0
NYJ,1.0,0.7,0.9,0.9
BAL,0.2,0.3,0.4,0.3
BUF,0.3,0.2,0.3,0.3
PHI,0.1,0.1,0.6,0.3
OAK,0.2,0.2,0.3,0.2
MIN,0.2,0.2,0.2,0.2
DAL,0.1,0.1,0.5,0.2
CIN,0.2,0.1,0.2,0.2
SD,0.1,0.1,0.2,0.2
MIA,0.1,0.1,0.2,0.1
WAS,0.1,0.1,0.2,0.1
CHI,0.0,0.1,0.1,0.1
KC,0.0,0.1,0.0,0.1
NO,0.0,0.0,0.1,0.1
TB,0.1,0.0,0.1,0.1
STL,0.0,0.0,0.1,0.0
TEN,0.1,0.0,0.1,0.0
DET,0.0,0.0,0.1,0.0
SF,0.0,0.0,0.1,0.0
JAX,0.0,0.0,0.0,0.0
