Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
KC,22.0,18.2,19.3,19.8
NE,19.7,12.1,10.2,14.0
BAL,13.5,11.0,10.1,11.5
NYG,0.9,7.2,24.1,10.7
SF,11.3,10.5,6.2,9.3
NO,9.6,8.7,6.5,8.3
SEA,5.3,7.5,2.5,5.1
TB,6.1,6.5,1.4,4.7
OAK,3.5,7.0,2.3,4.3
PHI,2.0,1.0,2.1,1.7
DET,0.0,0.9,3.0,1.3
TEN,1.1,2.2,0.5,1.3
LAR,1.5,1.2,0.8,1.2
GB,0.9,1.1,1.5,1.1
CLE,0.8,0.7,1.1,0.9
HOU,0.1,0.5,1.9,0.8
PIT,0.1,0.4,1.7,0.7
MIN,1.0,0.5,0.6,0.7
ARI,0.1,0.8,0.7,0.5
ATL,0.0,0.1,0.9,0.3
JAX,0.0,0.2,0.8,0.3
BUF,0.3,0.2,0.2,0.2
MIA,0.1,0.3,0.2,0.2
LAC,0.0,0.1,0.4,0.2
DAL,0.0,0.3,0.1,0.2
CHI,0.0,0.2,0.1,0.1
NYJ,0.0,0.0,0.3,0.1
IND,0.0,0.2,0.1,0.1
DEN,0.0,0.1,0.1,0.1
CIN,0.1,0.1,0.1,0.1
CAR,0.0,0.1,0.1,0.1
WAS,0.0,0.1,0.1,0.1
