Team,YahooYahoo,OfficeFootballPoolOFP,Average
TB,29.9,21.2,25.5
GB,8.8,21.6,15.2
CIN,9.4,17.5,13.4
LV,6.6,8.9,7.8
DAL,14.4,0.7,7.6
JAX,5.7,2.4,4.1
NO,4.1,3.7,3.9
BAL,3.4,2.1,2.7
NE,2.1,2.8,2.4
PHI,2.9,1.6,2.3
DET,3.1,1.0,2.0
PIT,1.6,2.2,1.9
IND,0.9,2.4,1.7
HOU,1.7,1.2,1.4
NYJ,0.5,1.7,1.1
CAR,0.0,2.2,1.1
SEA,1.2,0.6,0.9
SF,0.7,0.8,0.7
KC,1.3,0.1,0.7
CLE,0.2,0.8,0.5
LAC,0.0,0.9,0.5
CHI,0.3,0.6,0.5
ARI,0.1,0.7,0.4
BUF,0.4,0.4,0.4
DEN,0.1,0.7,0.4
NYG,0.1,0.6,0.3
MIA,0.4,0.1,0.3
TEN,0.1,0.3,0.2
ATL,0.1,0.2,0.2
MIN,0.0,0.2,0.1
WAS,0.0,0.1,0.1
LAR,0.0,0.0,0.0
