Team,YahooYahoo,OfficeFootballPoolOFP,Average
PHI,33.8,36.4,35.1
ATL,20.9,18.7,19.8
HOU,21.8,16.8,19.3
GB,4.3,8.3,6.3
BAL,2.4,4.7,3.5
CIN,3.4,2.5,2.9
TB,2.3,3.1,2.7
PIT,2.6,2.2,2.4
CHI,2.8,0.9,1.8
SF,1.3,0.9,1.1
BUF,1.3,0.7,1.0
DET,0.7,0.6,0.7
IND,0.5,0.6,0.5
TEN,0.2,0.9,0.5
LAC,0.3,0.5,0.4
JAX,0.2,0.4,0.3
CAR,0.1,0.4,0.2
DEN,0.2,0.2,0.2
NYG,0.1,0.2,0.2
NE,0.1,0.2,0.1
NYJ,0.1,0.2,0.1
CLE,0.1,0.2,0.1
DAL,0.1,0.1,0.1
NO,0.1,0.1,0.1
SEA,0.2,0.0,0.1
ARI,0.1,0.1,0.1
WSH,0.2,0.0,0.1
LV,0.1,0.1,0.1
MIN,0.0,0.0,0.0
LAR,0.0,0.0,0.0
MIA,0.0,0.0,0.0
KC,0.0,0.0,0.0
